instance;objective_value
f1_tap_3_400.dat;88.01274913739763
f1_tap_9_400.dat;87.00905651533381
f4_tap_0_20.dat;6.726372375898634
f4_tap_1_400.dat;92.10836201670493
f4_tap_4_400.dat;88.77230438288416
tap_10_100.dat;27.963428762882284
tap_11_250.dat;37.31578825082006
tap_13_150.dat;28.430957770292398
tap_14_400.dat;96.19798177088308
tap_15_60.dat;6.773680796549568
